NAME,BATCH,DEPARTMENT,EMAIL ID,MESSAGE,TIMESTAMP
Allison Hill,2020,MECH,ashley09@hotmail.com,hi hello this is ashley ,2025-02-14 11:20:26.479133
Allison Hill,2020,MECH,ashley09@hotmail.com,hi buddy its me brill,2025-02-14 11:21:33.099349
Allison Hill,2020,MECH,ashley09@hotmail.com,"📢 College Admin: helloo buddy its trump
",2025-02-14 11:22:38.026773
Noah Rhodes,2003,MECH,colleenbaker@moore.net,"🎉 Congratulations, Noah Rhodes, on your new role at Spencer-Lee! Wishing you success.",2025-02-14 11:35:17.066924
Allison Hill,2020,MECH,ashley09@hotmail.com,📢 College Admin: great to be part with you,2025-02-14 14:10:47.049304
Allison Hill,2020,MECH,ashley09@hotmail.com,hi coolge,2025-02-15 14:12:57.368642
Allison Hill,2020,MECH,ashley09@hotmail.com,📢 College Admin: hi,2025-02-15 14:44:02.720899
Allison Hill,2020,MECH,ashley09@hotmail.com,✅ You have successfully registered for 'YUVAN SHANKAR CONCERT' on 2025-02-27!,2025-02-15 21:01:03.414654
Allison Hill,2020,MECH,ashley09@hotmail.com,✅ You have successfully registered for 'gg ' on 2025-02-15!,2025-02-15 21:15:30.300094
Allison Hill,2020,MECH,ashley09@hotmail.com,"🎉 Congratulations, Allison Hill, on your new role at Parker, Ortiz and Powell! Wishing you success.",2025-02-16 23:28:08.299510
Allison Hill,2020,MECH,ashley09@hotmail.com,hi this is kesava,2025-02-16 23:28:34.040234
Allison Hill,2020,MECH,ashley09@hotmail.com,✅ You have successfully registered for 'YUVAN SHANKAR CONCERT' on 2025-02-27!,2025-02-16 23:29:01.188910
Allison Hill,2020,MECH,ashley09@hotmail.com,"🎉 Congratulations, Allison Hill, on your new role at Parker, Ortiz and Powell! Wishing you success.",2025-02-16 23:36:59.162352
Allison Hill,2020,MECH,ashley09@hotmail.com,hi collage,2025-02-16 23:37:15.298715
Allison Hill,2020,MECH,ashley09@hotmail.com,✅ You have successfully registered for 'gg ' on 2025-02-15!,2025-02-16 23:38:34.671572
Allison Hill,2020,MECH,ashley09@hotmail.com,"🎉 Congratulations, Allison Hill, on your new role at Parker, Ortiz and Powell! Wishing you success.",2025-02-16 23:44:47.345034
Allison Hill,2020,MECH,ashley09@hotmail.com,✅ You have successfully registered for 'gg ' on 2025-02-15!,2025-02-16 23:45:29.934106
Allison Hill,2020,MECH,ashley09@hotmail.com,📢 College Admin: we recived email,2025-02-17 10:59:29.238798
