Name,Department,Year of study,email id,Sem 1 GPA,Sem 2 GPA,Sem 3 GPA,Sem 4 GPA,Sem 5 GPA,Sem 6 GPA,Sem 7 GPA,Sem 8 GPA,cgpa,intrested domain,intrested country,passing year
Student 1,ECE,4,student1@college.edu,9.21,9.18,6.56,7.12,8.1,7.97,7.53,7.84,7.94,Placements,USA,2027
Student 2,ECE,3,student2@college.edu,6.74,6.75,7.53,6.12,9.53,7.88,7.37,8.46,7.55,Placements,Germany,2029
Student 3,EEE,3,student3@college.edu,6.74,8.27,8.52,9.06,6.47,9.19,7.08,6.4,7.72,Higher studies,USA,2025
Student 4,CIVIL,3,student4@college.edu,7.68,7.23,7.57,7.56,8.67,9.5,7.92,9.61,8.22,Higher studies,USA,2029
Student 5,ECE,3,student5@college.edu,9.11,9.81,8.54,8.7,6.78,7.27,6.95,7.3,8.06,Higher studies,India,2025
Student 6,MECH,3,student6@college.edu,8.64,6.69,9.05,8.56,8.54,6.64,9.56,7.59,8.16,Placements,Germany,2029
Student 7,CIVIL,4,student7@college.edu,8.73,9.75,6.48,8.72,9.0,7.22,6.81,9.4,8.26,Higher studies,Canada,2028
Student 8,MECH,3,student8@college.edu,9.36,6.14,8.0,8.16,8.38,8.4,9.52,8.31,8.28,Placements,Germany,2028
Student 9,ECE,4,student9@college.edu,8.04,8.68,7.75,8.5,6.32,8.87,8.35,7.14,7.96,Higher studies,Germany,2025
Student 10,CIVIL,3,student10@college.edu,6.15,6.87,9.58,8.67,6.11,6.78,8.72,9.35,7.78,Placements,Canada,2026
Student 11,ECE,3,student11@college.edu,6.12,9.76,8.01,8.24,8.49,8.48,6.8,7.16,7.88,Higher studies,UK,2027
Student 12,IT,3,student12@college.edu,6.57,6.12,7.84,6.13,6.21,9.12,9.7,7.36,7.38,Placements,Australia,2028
Student 13,ECE,3,student13@college.edu,8.62,7.75,6.97,6.84,7.85,9.13,9.34,9.02,8.19,Higher studies,UK,2029
Student 14,EEE,3,student14@college.edu,7.79,8.22,8.22,8.32,6.99,7.89,8.43,8.22,8.01,Placements,India,2025
Student 15,CIVIL,3,student15@college.edu,8.5,8.05,6.33,9.22,7.29,9.88,6.87,8.07,8.03,Placements,USA,2025
Student 16,CIVIL,3,student16@college.edu,8.09,7.96,7.72,6.1,7.77,7.33,8.33,9.96,7.91,Higher studies,UK,2027
Student 17,ECE,3,student17@college.edu,7.94,7.07,7.22,8.71,6.27,6.85,9.25,7.59,7.61,Higher studies,Canada,2025
Student 18,ECE,3,student18@college.edu,8.73,7.18,8.52,6.67,7.36,8.06,8.49,7.33,7.79,Placements,Australia,2028
Student 19,IT,4,student19@college.edu,7.48,7.87,7.51,8.54,6.24,6.65,6.02,8.67,7.37,Higher studies,India,2029
Student 20,CSE,4,student20@college.edu,7.54,7.29,6.6,9.79,6.78,6.95,8.44,7.62,7.63,Higher studies,Australia,2030
Student 21,CIVIL,4,student21@college.edu,9.62,7.1,8.91,7.32,7.92,8.91,6.75,9.52,8.26,Placements,India,2026
Student 22,CIVIL,4,student22@college.edu,7.81,7.26,6.15,6.57,8.21,8.88,7.84,9.02,7.72,Placements,Germany,2030
Student 23,IT,4,student23@college.edu,9.74,7.78,9.95,7.82,9.82,9.02,8.21,9.49,8.98,Placements,Canada,2028
Student 24,CSE,3,student24@college.edu,6.6,8.27,8.56,9.81,6.27,6.69,9.77,7.84,7.98,Placements,Germany,2027
Student 25,CIVIL,4,student25@college.edu,9.04,8.8,8.91,8.09,8.89,9.81,9.21,6.7,8.68,Higher studies,Australia,2026
Student 26,IT,3,student26@college.edu,9.9,8.95,6.12,9.52,9.51,6.65,9.4,6.27,8.29,Higher studies,UK,2026
Student 27,CIVIL,3,student27@college.edu,7.83,7.14,7.72,9.59,7.01,7.76,7.64,7.62,7.79,Higher studies,Germany,2026
Student 28,CIVIL,3,student28@college.edu,9.94,8.6,9.44,8.73,9.35,7.21,6.61,9.18,8.63,Higher studies,USA,2027
Student 29,IT,4,student29@college.edu,9.05,9.9,6.24,7.48,8.43,6.86,8.01,8.71,8.09,Higher studies,India,2028
Student 30,EEE,4,student30@college.edu,7.56,6.04,7.17,7.32,8.52,9.52,9.43,7.53,7.89,Higher studies,Australia,2026
Student 31,EEE,4,student31@college.edu,9.24,9.35,8.87,9.57,8.14,9.02,7.08,8.41,8.71,Placements,Germany,2026
Student 32,MECH,3,student32@college.edu,7.27,8.61,9.5,9.34,6.02,9.29,9.93,6.66,8.33,Higher studies,UK,2026
Student 33,MECH,3,student33@college.edu,8.85,9.58,6.89,9.29,9.22,8.35,9.49,7.8,8.68,Placements,Australia,2030
Student 34,EEE,4,student34@college.edu,9.85,6.52,9.33,6.96,7.81,6.67,8.29,7.17,7.83,Placements,Germany,2026
